


























































11,62612.763,11 Aug 2014 09:53:32.763,63218.256,11 Aug 2014 10:03:38.256,605.493












"GEO-Cloud_016-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
11,62480.000,11 Aug 2014 09:51:20.000,62874.633,11 Aug 2014 09:57:54.633,394.633












"GEO-Cloud_017-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
11,62480.000,11 Aug 2014 09:51:20.000,62531.201,11 Aug 2014 09:52:11.201,51.201



