"GEO-Cloud_001-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,55691.739,11 Aug 2014 07:58:11.739,56353.261,11 Aug 2014 08:09:13.261,661.522
11,61569.489,11 Aug 2014 09:36:09.489,62187.642,11 Aug 2014 09:46:27.642,618.154
12,67506.715,11 Aug 2014 11:15:06.715,68031.350,11 Aug 2014 11:23:51.350,524.635
13,73501.841,11 Aug 2014 12:55:01.841,73885.045,11 Aug 2014 13:01:25.045,383.204
14,79526.022,11 Aug 2014 14:35:26.022,79762.293,11 Aug 2014 14:39:22.293,236.271
15,85488.532,11 Aug 2014 16:14:48.532,85721.855,11 Aug 2014 16:18:41.855,233.323

"GEO-Cloud_001-To-Sydney - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,24669.852,10 Aug 2014 23:21:09.852,25040.618,10 Aug 2014 23:27:20.618,370.767
2,30354.141,11 Aug 2014 00:55:54.141,31005.429,11 Aug 2014 01:06:45.429,651.288
3,69647.096,11 Aug 2014 11:50:47.096,70304.145,11 Aug 2014 12:01:44.145,657.049
4,75666.020,11 Aug 2014 13:31:06.020,75945.144,11 Aug 2014 13:35:45.144,279.124

"GEO-Cloud_001-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,108.388,10 Aug 2014 16:31:48.388,689.231,10 Aug 2014 16:41:29.231,580.844
2,5848.398,10 Aug 2014 18:07:28.398,6461.349,10 Aug 2014 18:17:41.349,612.951
3,11604.668,10 Aug 2014 19:43:24.668,12262.175,10 Aug 2014 19:54:22.175,657.507
4,17418.313,10 Aug 2014 21:20:18.313,18079.032,10 Aug 2014 21:31:19.032,660.719
5,23322.018,10 Aug 2014 22:58:42.018,23898.060,10 Aug 2014 23:08:18.060,576.042
6,29355.956,11 Aug 2014 00:39:15.956,29691.269,11 Aug 2014 00:44:51.269,335.313
7,53430.552,11 Aug 2014 07:20:30.552,53556.907,11 Aug 2014 07:22:36.907,126.355
8,59170.379,11 Aug 2014 08:56:10.379,59683.548,11 Aug 2014 09:04:43.548,513.169
9,64985.540,11 Aug 2014 10:33:05.540,65628.031,11 Aug 2014 10:43:48.031,642.491
10,70804.890,11 Aug 2014 12:10:04.890,71470.938,11 Aug 2014 12:21:10.938,666.048
11,76613.137,11 Aug 2014 13:46:53.137,77243.771,11 Aug 2014 13:57:23.771,630.634
12,82396.795,11 Aug 2014 15:23:16.795,82984.621,11 Aug 2014 15:33:04.621,587.826

