"GEO-Cloud_003-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
14,78818.156,11 Aug 2014 14:23:38.156,79068.265,11 Aug 2014 14:27:48.265,250.109
15,84793.019,11 Aug 2014 16:03:13.019,84999.400,11 Aug 2014 16:06:39.400,206.381


"GEO-Cloud_003-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
11,81718.066,11 Aug 2014 15:11:58.066,82309.500,11 Aug 2014 15:21:49.500,591.434

"GEO-Cloud_004-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,83087.032,11 Aug 2014 15:34:47.032,83696.279,11 Aug 2014 15:44:56.279,609.248

"GEO-Cloud_004-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,82200.349,11 Aug 2014 15:20:00.349,82846.828,11 Aug 2014 15:30:46.828,646.478


"GEO-Cloud_004-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,79061.252,11 Aug 2014 14:27:41.252,79501.630,11 Aug 2014 14:35:01.630,440.378
6,84801.059,11 Aug 2014 16:03:21.059,84999.400,11 Aug 2014 16:06:39.400,198.341



"GEO-Cloud_004-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,79900.269,11 Aug 2014 14:41:40.269,80350.543,11 Aug 2014 14:49:10.543,450.273

"GEO-Cloud_004-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,83691.375,11 Aug 2014 15:44:51.375,84292.740,11 Aug 2014 15:54:52.740,601.365


"GEO-Cloud_004-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
14,78463.887,11 Aug 2014 14:17:43.887,78721.554,11 Aug 2014 14:22:01.554,257.667
15,84444.659,11 Aug 2014 15:57:24.659,84662.106,11 Aug 2014 16:01:02.106,217.447


"GEO-Cloud_004-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,81378.446,11 Aug 2014 15:06:18.446,81971.900,11 Aug 2014 15:16:11.900,593.454

"GEO-Cloud_005-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,82756.507,11 Aug 2014 15:29:16.507,83347.215,11 Aug 2014 15:39:07.215,590.708

"GEO-Cloud_005-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,81856.715,11 Aug 2014 15:14:16.715,82509.393,11 Aug 2014 15:25:09.393,652.678


"GEO-Cloud_005-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,78732.397,11 Aug 2014 14:22:12.397,79136.748,11 Aug 2014 14:28:56.748,404.351
7,84459.534,11 Aug 2014 15:57:39.534,84999.400,11 Aug 2014 16:06:39.400,539.866



"GEO-Cloud_005-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,79586.901,11 Aug 2014 14:36:26.901,79982.674,11 Aug 2014 14:43:02.674,395.773

"GEO-Cloud_005-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,83358.407,11 Aug 2014 15:39:18.407,83947.980,11 Aug 2014 15:49:07.980,589.573


"GEO-Cloud_005-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
15,84095.914,11 Aug 2014 15:51:35.914,84309.426,11 Aug 2014 15:55:09.426,213.512


"GEO-Cloud_005-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,81038.711,11 Aug 2014 15:00:38.711,81634.313,11 Aug 2014 15:10:34.313,595.602

"GEO-Cloud_006-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,82428.185,11 Aug 2014 15:23:48.185,82996.688,11 Aug 2014 15:33:16.688,568.503

"GEO-Cloud_006-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,81514.089,11 Aug 2014 15:08:34.089,82170.786,11 Aug 2014 15:19:30.786,656.697


"GEO-Cloud_006-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,78461.000,11 Aug 2014 14:17:41.000,78768.641,11 Aug 2014 14:22:48.641,307.641
7,84118.474,11 Aug 2014 15:51:58.474,84778.962,11 Aug 2014 16:02:58.962,660.488



"GEO-Cloud_006-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,79281.656,11 Aug 2014 14:31:21.656,79607.123,11 Aug 2014 14:36:47.123,325.468
4,84923.583,11 Aug 2014 16:05:23.583,84999.400,11 Aug 2014 16:06:39.400,75.817

"GEO-Cloud_006-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,83026.390,11 Aug 2014 15:33:46.390,83603.096,11 Aug 2014 15:43:23.096,576.706


"GEO-Cloud_006-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
15,83746.940,11 Aug 2014 15:45:46.940,83957.276,11 Aug 2014 15:49:17.276,210.336


"GEO-Cloud_006-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,80699.021,11 Aug 2014 14:54:59.021,81296.897,11 Aug 2014 15:04:56.897,597.876

"GEO-Cloud_007-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,82101.988,11 Aug 2014 15:18:21.988,82644.141,11 Aug 2014 15:27:24.141,542.153

